latitude,longitude,mag,mag2,mag3,mag4,mag5,mag6,mag7,mag8,mag9,mag10,mag11,mag12
-98.683,27.065,-0.00025517,-0.00023803,-0.0002203,-0.00020288,-0.00018581,-0.00016877,-0.00015164,-0.00013476,-0.00011884,-0.00010459,-9.25E-05,0.012042
-98.102,26.938,-6.78E-05,-8.51E-05,-0.00010152,-0.00011661,-0.00012984,-0.00014091,-0.00014974,-0.00015632,-0.00016072,-0.00016313,-0.0001639,0.0040389
-98.068,26.463,0.000406,0.00041104,0.00041256,0.00041094,0.00040638,0.00039916,0.00038984,0.00037912,0.00036755,0.00035542,0.00034296,-0.0027955
-117.11,32.889,-0.0002748,-0.00029301,-0.00030833,-0.00032071,-0.00032986,-0.00033548,-0.00033762,-0.00033684,-0.0003339,-0.00032935,-0.00032329,0
-107.79,32.532,7.01E-05,8.51E-05,9.90E-05,0.00011122,0.00012163,0.00013022,0.00013716,0.00014255,0.00014632,0.00014838,0.00014874,0.0040675
-98.916,32.608,4.15E-05,5.80E-05,7.33E-05,8.69E-05,9.88E-05,0.00010902,0.00011757,0.00012443,0.00012958,0.00013313,0.00013518,0.00095926
-98.079,32.573,-6.96E-05,-2.70E-05,1.49E-05,5.49E-05,9.22E-05,0.00012617,0.00015643,0.0001826,0.00020442,-0.00025517,-0.00023803,0.021431
-97.41,32.557,-4.03E-05,-4.15E-05,-4.21E-05,-4.20E-05,-4.13E-05,-4.02E-05,-3.90E-05,-3.77E-05,-3.64E-05,-6.78E-05,-8.51E-05,0.0089357
-96.53,32.475,0.00015244,0.00014105,0.00012871,0.00011598,0.00010318,9.05E-05,7.83E-05,6.68E-05,5.63E-05,0.000406,0.00041104,-0.0062582
-95.756,32.597,3.90E-05,0.00015111,0.00025906,0.00035959,0.00045057,0.0005307,0.00059924,0.00065581,0.00070044,-0.0002748,-0.00029301,-0.0029493
-95.089,32.66,6.85E-05,-1.39E-05,-9.38E-05,-0.00016922,-0.00023842,-0.00029996,-0.00035273,-0.00039626,-0.00043077,7.01E-05,8.51E-05,0.0076181
-94.393,32.679,-4.05E-05,-4.47E-05,-4.78E-05,-5.00E-05,-5.09E-05,-5.05E-05,-4.86E-05,-4.56E-05,-4.22E-05,4.15E-05,5.80E-05,0.0011301
-93.574,32.641,0.00026624,0.00021829,0.00016998,0.0001231,7.89E-05,3.82E-05,1.53E-06,-3.09E-05,-5.89E-05,-6.96E-05,-2.70E-05,-0.013055
-92.905,32.605,-0.00042738,-0.00039144,-0.00035282,-0.00031329,-0.00027423,-0.00023666,-0.0002015,-0.00016943,-0.00014082,-4.03E-05,-4.15E-05,-0.00076531
-91.946,32.549,-0.00012313,-0.00017148,-0.00021726,-0.0002591,-0.00029591,-0.00032715,-0.00035277,-0.00037302,-0.00038825,0.00015244,0.00014105,0.015236
-91.404,32.703,-0.00020094,-0.00015967,-0.00011781,-7.68E-05,-3.79E-05,-2.12E-06,3.00E-05,5.81E-05,8.23E-05,3.90E-05,0.00015111,-0.012125
-112.81,31.956,2.01E-05,4.07E-05,6.05E-05,7.89E-05,9.55E-05,0.00011021,0.0001229,0.00013356,0.00014219,6.85E-05,-1.39E-05,0.0053111
-98.9,32.018,-0.00012212,-0.00011907,-0.00011555,-0.00011157,-0.00010691,-0.00010152,-9.57E-05,-8.98E-05,-1.41E-04,-4.05E-05,-4.47E-05,-0.01166
-98.137,32.004,-0.00016133,-0.00021207,-0.00025954,-0.00030238,-0.0003395,-0.00037037,-0.00039498,-0.00041367,-0.0004269,0.00026624,0.00021829,0.0099163
-96.531,32,0.00023087,0.00023135,0.00022986,0.00022668,0.00022217,0.0002166,0.00021011,0.00020276,0.00019467,-0.00042738,-0.00039144,0.0088301
-95.808,32.002,0.00019412,0.00017724,0.00015917,0.00014076,0.00012279,0.00010569,8.96E-05,7.46E-05,6.07E-05,-0.00012313,-0.00017148,0.0021198
-95.12,32.003,2.61E-05,8.13E-05,0.0001343,0.00018353,0.0002282,0.00026781,0.00030184,0.00032985,0.00035177,-0.00020094,-0.00015967,0.0031365
-94.471,32.018,8.28E-05,2.94E-05,-2.30E-05,-7.29E-05,-0.00011921,-0.00016138,-0.00019888,-0.00023117,-0.00025775,2.01E-05,4.07E-05,-0.0047578
-93.763,32.039,0.00016011,7.20E-05,-1.49E-05,-9.78E-05,-0.00017438,-0.00024319,-0.00030352,-0.00035515,-0.00039801,-0.00012212,-0.00011907,-0.016448
-92.919,32.023,0.00012262,4.82E-05,-2.45E-05,-9.32E-05,-0.00015596,-0.00021163,-0.00025954,-0.0002996,-0.00033209,-0.00016133,-0.00021207,-0.0033056
-92.152,32.062,0.00039473,0.00036935,0.00034194,0.00031373,0.00028513,0.00025619,0.00022736,0.00019958,0.00017368,0.00023087,0.00023135,0.0016637
-91.483,31.88,-0.00022867,-0.00026931,-0.00030649,-0.00033896,-0.00036604,-0.00038778,-0.00040471,-0.00041735,-0.00042588,0.00019412,0.00017724,0.003294
-98.984,31.325,-0.0001897,-0.000195,-0.00019861,-0.00020057,-0.00020083,-0.0001995,-0.00019696,-0.00019372,-0.00019013,2.61E-05,8.13E-05,0.0014427
-98.238,31.332,-0.00014726,-8.87E-05,-3.11E-05,2.36E-05,7.39E-05,0.00011891,0.00015793,0.00019061,0.00021691,8.28E-05,2.94E-05,-0.0030509
-97.427,31.282,-0.00010599,-0.00012469,-0.0001422,-0.00015829,-0.0001727,-0.00018504,-0.00019492,-0.00020216,-0.00020682,0.00016011,7.20E-05,0.013491
-96.844,31.387,0.00013609,0.00015756,0.00017711,0.00019424,0.00020874,0.00022073,0.00023053,0.00023837,0.00024437,0.00012262,4.82E-05,0.0089228
-95.885,31.316,0.00037417,0.00035848,0.00034005,0.00031984,0.00029842,0.00027617,0.0002536,0.00023137,0.00021015,0.00039473,0.00036935,-0.0095857
